full_description,Connector,Action,Description
The connector named crowdstrike falcon has an action named host_search which can be used for following - Search for all hosts matching a FQL query,crowdstrike falcon,host_search,Search for all hosts matching a FQL query
The connector named crowdstrike falcon has an action named incident_get which can be used for following - Get Incidents Details,crowdstrike falcon,incident_get,Get Incidents Details
The connector named crowdstrike falcon has an action named indicator_create which can be used for following - Create a CrowdStrike indicator,crowdstrike falcon,indicator_create,Create a CrowdStrike indicator
The connector named crowdstrike falcon has an action named indicator_delete which can be used for following - Deletes an indicator,crowdstrike falcon,indicator_delete,Deletes an indicator
The connector named crowdstrike falcon has an action named indicator_get which can be used for following - Get information about a CrowdStrike indicator,crowdstrike falcon,indicator_get,Get information about a CrowdStrike indicator
The connector named crowdstrike falcon has an action named indicator_query which can be used for following - Query for indicator IDs using a keyword query string,crowdstrike falcon,indicator_query,Query for indicator IDs using a keyword query string
The connector named crowdstrike falcon has an action named indicator_search which can be used for following - Search for indicators,crowdstrike falcon,indicator_search,Search for indicators
The connector named crowdstrike falcon has an action named indicator_update which can be used for following - Update information about a CrowdStrike indicator,crowdstrike falcon,indicator_update,Update information about a CrowdStrike indicator
The connector named crowdstrike falcon has an action named initialize_rtr_session which can be used for following - Initialize a new session with the RTR cloud.,crowdstrike falcon,initialize_rtr_session,Initialize a new session with the RTR cloud.
The connector named crowdstrike falcon has an action named perform_device_action which can be used for following - Performs an action to a list of devices,crowdstrike falcon,perform_device_action,Performs an action to a list of devices
"The connector named crowdstrike falcon has an action named perform_incident_action which can be used for following - Perform a set of actions on one or more incidents, such as adding tags or comments or updating the incident name or description",crowdstrike falcon,perform_incident_action,"Perform a set of actions on one or more incidents, such as adding tags or comments or updating the incident name or description"
The connector named crowdstrike falcon has an action named query_host_by_indicator which can be used for following - Find hosts that have observed a given custom IOC,crowdstrike falcon,query_host_by_indicator,Find hosts that have observed a given custom IOC
The connector named crowdstrike falcon has an action named rtr_cmd_result which can be used for following - Real time response admin command result,crowdstrike falcon,rtr_cmd_result,Real time response admin command result
The connector named crowdstrike falcon has an action named search_reports which can be used for following - Find all report IDs matching the query with filter,crowdstrike falcon,search_reports,Find all report IDs matching the query with filter
"The connector named crowdstrike falcon has an action named submit_file_analysis which can be used for following - Upload a file for sandbox analysis. After uploading, use Get File Analysis to start analyzing the file.",crowdstrike falcon,submit_file_analysis,"Upload a file for sandbox analysis. After uploading, use Get File Analysis to start analyzing the file."
The connector named crowdstrike falcon has an action named update_detection which can be used for following - Update a list of detections,crowdstrike falcon,update_detection,Update a list of detections
The connector named crowdstrike falcon has an action named upload_file_analysis which can be used for following - Upload a file for sandbox analysis,crowdstrike falcon,upload_file_analysis,Upload a file for sandbox analysis
The connector named crowdstrike falcon has an action named upload_rtr_put_file which can be used for following - Upload a new put-file to use for the RTR `put` command,crowdstrike falcon,upload_rtr_put_file,Upload a new put-file to use for the RTR `put` command
The connector named crowdstrike falcon has an action named upload_script which can be used for following - Upload a new custom-script to use for the RTR `runscript` command,crowdstrike falcon,upload_script,Upload a new custom-script to use for the RTR `runscript` command
The connector named crowdstrike falcon has an action named oauth2_client_credentials which can be used for following - Authenticates using oauth 2.0 client credentials,crowdstrike falcon,oauth2_client_credentials,Authenticates using oauth 2.0 client credentials
The connector named crowdstrike falcon has an action named connector which can be used for following - CrowdStrike Host Query API,crowdstrike falcon,connector,CrowdStrike Host Query API
The connector named crowdstrike hybrid analysis has an action named hash_overview which can be used for following - Return overview for hash,crowdstrike hybrid analysis,hash_overview,Return overview for hash
The connector named crowdstrike hybrid analysis has an action named report_state which can be used for following - Report the state of a submission,crowdstrike hybrid analysis,report_state,Report the state of a submission
The connector named crowdstrike hybrid analysis has an action named report_summary which can be used for following - Return summary of a submission,crowdstrike hybrid analysis,report_summary,Return summary of a submission
The connector named crowdstrike hybrid analysis has an action named search_hash which can be used for following - Search Hash,crowdstrike hybrid analysis,search_hash,Search Hash
The connector named crowdstrike hybrid analysis has an action named search_terms which can be used for following - Search the database using the search terms,crowdstrike hybrid analysis,search_terms,Search the database using the search terms
The connector named crowdstrike hybrid analysis has an action named submit_url which can be used for following - Submit a websites URL or URL with file for analysis,crowdstrike hybrid analysis,submit_url,Submit a websites URL or URL with file for analysis
The connector named crowdstrike hybrid analysis has an action named apikey which can be used for following - Authenticates using an API Key,crowdstrike hybrid analysis,apikey,Authenticates using an API Key
The connector named crowdstrike hybrid analysis has an action named connector which can be used for following - Send IOCs to Hybrid Analysis Falcon Sandbox for analysis.,crowdstrike hybrid analysis,connector,Send IOCs to Hybrid Analysis Falcon Sandbox for analysis.
"The connector named domaintools has an action named brand_monitor which can be used for following - The Brand Monitor API will search across all new domain registrations worldwide, and return result sets consisting of domain names that contain a customer’s brand or monitored word/string.",domaintools,brand_monitor,"The Brand Monitor API will search across all new domain registrations worldwide, and return result sets consisting of domain names that contain a customer’s brand or monitored word/string."
The connector named domaintools has an action named domain_profile which can be used for following - The Domain Profile API provides basic domain name registration details and a preview of additional data available from DomainTools membership and report products.,domaintools,domain_profile,The Domain Profile API provides basic domain name registration details and a preview of additional data available from DomainTools membership and report products.
The connector named domaintools has an action named domain_reputation which can be used for following - The Domain Reputation API return a risk score associated to the queried domain,domaintools,domain_reputation,The Domain Reputation API return a risk score associated to the queried domain
"The connector named domaintools has an action named hosting_history which can be used for following - The Hosting History API provides a list of changes that have occurred in a Domain Name’s registrar, IP address, and name servers.",domaintools,hosting_history,"The Hosting History API provides a list of changes that have occurred in a Domain Name’s registrar, IP address, and name servers."
The connector named domaintools has an action named iris_detect_new which can be used for following - Retrieve monitors and respective IDs for the current account,domaintools,iris_detect_new,Retrieve monitors and respective IDs for the current account
The connector named domaintools has an action named iris_enrich which can be used for following - Get WhoIs History from DomainTools,domaintools,iris_enrich,Get WhoIs History from DomainTools
The connector named domaintools has an action named iris_investigate which can be used for following - Investigate and orchestrate use cases at human scale,domaintools,iris_investigate,Investigate and orchestrate use cases at human scale
The connector named domaintools has an action named reverse_ip which can be used for following - The Reverse IP API provides a list of domain names that share the same Internet host (i.e. the same IP address).,domaintools,reverse_ip,The Reverse IP API provides a list of domain names that share the same Internet host (i.e. the same IP address).
The connector named domaintools has an action named reverse_who_is which can be used for following - The Reverse Whois API provides a list of domain names that share the same Registrant Information.,domaintools,reverse_who_is,The Reverse Whois API provides a list of domain names that share the same Registrant Information.
The connector named domaintools has an action named who_is which can be used for following - Get Who Is From DomainTools,domaintools,who_is,Get Who Is From DomainTools
"The connector named domaintools has an action named who_is_history which can be used for following - Returns the most recent historical records first, sorting them in ascending or descending (default) order based on the record date field.",domaintools,who_is_history,"Returns the most recent historical records first, sorting them in ascending or descending (default) order based on the record date field."
The connector named domaintools has an action named apikey which can be used for following - Authenticates using an API Key,domaintools,apikey,Authenticates using an API Key
The connector named domaintools has an action named connector which can be used for following - DomainTools API Connector,domaintools,connector,DomainTools API Connector
The connector named rapid7 intel intsights has an action named get_ioc_by_value which can be used for following - Rapid7 Intel IntSights Get IOC By Value,rapid7 intel intsights,get_ioc_by_value,Rapid7 Intel IntSights Get IOC By Value
The connector named rapid7 intel intsights has an action named http_basic which can be used for following - Authenticates using username and password.,rapid7 intel intsights,http_basic,Authenticates using username and password.
The connector named rapid7 intel intsights has an action named connector which can be used for following - Rapid7 Intel IntSights,rapid7 intel intsights,connector,Rapid7 Intel IntSights
"The connector named microsoft graph api connector has an action named delete_email which can be used for following - Delete a message in the specified users mailbox, or delete a relationship of the message",microsoft graph api connector,delete_email,"Delete a message in the specified users mailbox, or delete a relationship of the message"
The connector named microsoft graph api connector has an action named forward_email which can be used for following - Forward an email,microsoft graph api connector,forward_email,Forward an email
The connector named microsoft graph api connector has an action named get_email_attachments which can be used for following - Retrieve attachments for an email,microsoft graph api connector,get_email_attachments,Retrieve attachments for an email
The connector named microsoft graph api connector has an action named get_emails which can be used for following - Get emails from your account,microsoft graph api connector,get_emails,Get emails from your account
The connector named microsoft graph api connector has an action named get_emails_from_a_folder which can be used for following - Get emails from a specific folder,microsoft graph api connector,get_emails_from_a_folder,Get emails from a specific folder
The connector named microsoft graph api connector has an action named get_emails_from_folder which can be used for following - Get emails from a specific folder in your account,microsoft graph api connector,get_emails_from_folder,Get emails from a specific folder in your account
The connector named microsoft graph api connector has an action named get_folders which can be used for following - Get Folders,microsoft graph api connector,get_folders,Get Folders
The connector named microsoft graph api connector has an action named microsoft_graph_id_auths_password_list_methods which can be used for following - List Password Authentication Methods,microsoft graph api connector,microsoft_graph_id_auths_password_list_methods,List Password Authentication Methods
The connector named microsoft graph api connector has an action named microsoft_graph_id_auths_password_reset which can be used for following - Reset User Password,microsoft graph api connector,microsoft_graph_id_auths_password_reset,Reset User Password
The connector named microsoft graph api connector has an action named microsoft_graph_id_dir_get_device_reg_users_list which can be used for following - Get Identity Directory Registered Users List,microsoft graph api connector,microsoft_graph_id_dir_get_device_reg_users_list,Get Identity Directory Registered Users List
The connector named microsoft graph api connector has an action named microsoft_graph_id_dir_obj_get_do_by_id_list which can be used for following - Get Identity Directory Objects by IDs List,microsoft graph api connector,microsoft_graph_id_dir_obj_get_do_by_id_list,Get Identity Directory Objects by IDs List
The connector named microsoft graph api connector has an action named microsoft_graph_id_directory_del_device_reg_user which can be used for following - Delete Identity Directory Device Registered User,microsoft graph api connector,microsoft_graph_id_directory_del_device_reg_user,Delete Identity Directory Device Registered User
The connector named microsoft graph api connector has an action named microsoft_graph_id_directory_device_del_device which can be used for following - Delete Identity Directory Device,microsoft graph api connector,microsoft_graph_id_directory_device_del_device,Delete Identity Directory Device
The connector named microsoft graph api connector has an action named microsoft_graph_id_directory_device_get_device which can be used for following - Get Identity Directory Device,microsoft graph api connector,microsoft_graph_id_directory_device_get_device,Get Identity Directory Device
The connector named microsoft graph api connector has an action named microsoft_graph_id_directory_device_post_device which can be used for following - Create Identity Directory Device,microsoft graph api connector,microsoft_graph_id_directory_device_post_device,Create Identity Directory Device
The connector named microsoft graph api connector has an action named microsoft_graph_id_directory_device_post_reg_user which can be used for following - Add Identity Directory Device Registered User,microsoft graph api connector,microsoft_graph_id_directory_device_post_reg_user,Add Identity Directory Device Registered User
The connector named microsoft graph api connector has an action named microsoft_graph_id_directory_get_device_groups which can be used for following - Get Identity Directory Device Group List,microsoft graph api connector,microsoft_graph_id_directory_get_device_groups,Get Identity Directory Device Group List
The connector named microsoft graph api connector has an action named microsoft_graph_id_directory_get_device_list which can be used for following - Get Identity Directory Device List,microsoft graph api connector,microsoft_graph_id_directory_get_device_list,Get Identity Directory Device List
The connector named microsoft graph api connector has an action named microsoft_graph_id_directory_role_post_member which can be used for following - Add Identity Directory Role Member,microsoft graph api connector,microsoft_graph_id_directory_role_post_member,Add Identity Directory Role Member
The connector named microsoft graph api connector has an action named microsoft_graph_id_directory_roles_del_assignment which can be used for following - Delete Identity Directory Role Assignment,microsoft graph api connector,microsoft_graph_id_directory_roles_del_assignment,Delete Identity Directory Role Assignment
The connector named microsoft graph api connector has an action named microsoft_graph_id_directory_roles_mgmt_post_role which can be used for following - Create Identity Directory Role Management,microsoft graph api connector,microsoft_graph_id_directory_roles_mgmt_post_role,Create Identity Directory Role Management
The connector named microsoft graph api connector has an action named microsoft_graph_id_directory_unit_add_member which can be used for following - Add member to Directory Administrative Unit,microsoft graph api connector,microsoft_graph_id_directory_unit_add_member,Add member to Directory Administrative Unit
The connector named microsoft graph api connector has an action named microsoft_graph_id_directory_unit_del_member which can be used for following - Delete Directory Administrative Unit Member,microsoft graph api connector,microsoft_graph_id_directory_unit_del_member,Delete Directory Administrative Unit Member
The connector named microsoft graph api connector has an action named microsoft_graph_id_directory_unit_get_list which can be used for following - Get Directory Administrative Unit List,microsoft graph api connector,microsoft_graph_id_directory_unit_get_list,Get Directory Administrative Unit List
The connector named microsoft graph api connector has an action named microsoft_graph_id_directory_unit_get_member which can be used for following - Get Directory Administrative Unit Member,microsoft graph api connector,microsoft_graph_id_directory_unit_get_member,Get Directory Administrative Unit Member
The connector named microsoft graph api connector has an action named microsoft_graph_id_directory_unit_get_member_list which can be used for following - Get Directory Administrative Unit Member List,microsoft graph api connector,microsoft_graph_id_directory_unit_get_member_list,Get Directory Administrative Unit Member List
The connector named microsoft graph api connector has an action named microsoft_graph_id_directory_unit_get_unit which can be used for following - Get Directory Administrative Unit,microsoft graph api connector,microsoft_graph_id_directory_unit_get_unit,Get Directory Administrative Unit
The connector named microsoft graph api connector has an action named microsoft_graph_id_role_del_member which can be used for following - Delete Identity Directory Role Member,microsoft graph api connector,microsoft_graph_id_role_del_member,Delete Identity Directory Role Member
The connector named microsoft graph api connector has an action named microsoft_graph_id_role_get_role which can be used for following - Get Identity Directory Role,microsoft graph api connector,microsoft_graph_id_role_get_role,Get Identity Directory Role
The connector named microsoft graph api connector has an action named microsoft_graph_id_roles_get_assignment which can be used for following - Get Identity Directory Role Assignment,microsoft graph api connector,microsoft_graph_id_roles_get_assignment,Get Identity Directory Role Assignment
The connector named microsoft graph api connector has an action named microsoft_graph_id_roles_management_del_role which can be used for following - Delete Identity Directory Role Management,microsoft graph api connector,microsoft_graph_id_roles_management_del_role,Delete Identity Directory Role Management
The connector named microsoft graph api connector has an action named microsoft_graph_id_roles_management_get_list which can be used for following - Get Identity Directory Role Management List,microsoft graph api connector,microsoft_graph_id_roles_management_get_list,Get Identity Directory Role Management List
The connector named microsoft graph api connector has an action named microsoft_graph_id_roles_management_get_role which can be used for following - Get Identity Directory Role Management,microsoft graph api connector,microsoft_graph_id_roles_management_get_role,Get Identity Directory Role Management
The connector named microsoft graph api connector has an action named microsoft_graph_identity_directory_domain_del_domain which can be used for following - Deletes a domain from a tenant,microsoft graph api connector,microsoft_graph_identity_directory_domain_del_domain,Deletes a domain from a tenant
The connector named microsoft graph api connector has an action named microsoft_graph_identity_directory_domains_get_domain which can be used for following - Retrieve the properties and relationships of domain object,microsoft graph api connector,microsoft_graph_identity_directory_domains_get_domain,Retrieve the properties and relationships of domain object
The connector named microsoft graph api connector has an action named microsoft_graph_identity_directory_domains_get_domains_list which can be used for following - Retrieve a list of domain objects,microsoft graph api connector,microsoft_graph_identity_directory_domains_get_domains_list,Retrieve a list of domain objects
The connector named microsoft graph api connector has an action named microsoft_graph_identity_directory_domains_post_domain which can be used for following - Adds a domain to the tenant,microsoft graph api connector,microsoft_graph_identity_directory_domains_post_domain,Adds a domain to the tenant
The connector named microsoft graph api connector has an action named microsoft_graph_identity_directory_object_get_do which can be used for following - Get Identity Directory Object,microsoft graph api connector,microsoft_graph_identity_directory_object_get_do,Get Identity Directory Object
The connector named microsoft graph api connector has an action named microsoft_graph_identity_directory_role_get_members_list which can be used for following - Retrieve the list of principals that are assigned to the directory role,microsoft graph api connector,microsoft_graph_identity_directory_role_get_members_list,Retrieve the list of principals that are assigned to the directory role
The connector named microsoft graph api connector has an action named microsoft_graph_security_api_actions_cancel_action which can be used for following - Cancel Security Action,microsoft graph api connector,microsoft_graph_security_api_actions_cancel_action,Cancel Security Action
The connector named microsoft graph api connector has an action named microsoft_graph_security_api_actions_create_action which can be used for following - Create Security Action,microsoft graph api connector,microsoft_graph_security_api_actions_create_action,Create Security Action
The connector named microsoft graph api connector has an action named microsoft_graph_security_api_actions_get_action which can be used for following - Get Security Action,microsoft graph api connector,microsoft_graph_security_api_actions_get_action,Get Security Action
The connector named microsoft graph api connector has an action named microsoft_graph_security_api_actions_list_actions which can be used for following - Get Security Actions List,microsoft graph api connector,microsoft_graph_security_api_actions_list_actions,Get Security Actions List
The connector named microsoft graph api connector has an action named microsoft_graph_security_api_get_alert which can be used for following - Get an Alert from the Microsoft Graph Security API,microsoft graph api connector,microsoft_graph_security_api_get_alert,Get an Alert from the Microsoft Graph Security API
The connector named microsoft graph api connector has an action named microsoft_graph_security_api_list_alerts which can be used for following - List Alerts from the Microsoft Graph Security API,microsoft graph api connector,microsoft_graph_security_api_list_alerts,List Alerts from the Microsoft Graph Security API
The connector named microsoft graph api connector has an action named microsoft_graph_security_api_secure_scores_get_control_profile which can be used for following - Get Control Profile,microsoft graph api connector,microsoft_graph_security_api_secure_scores_get_control_profile,Get Control Profile
The connector named microsoft graph api connector has an action named microsoft_graph_security_api_secure_scores_get_list which can be used for following - Get Secure Scores List,microsoft graph api connector,microsoft_graph_security_api_secure_scores_get_list,Get Secure Scores List
The connector named microsoft graph api connector has an action named microsoft_graph_security_api_secure_scores_get_list_control_profiles which can be used for following - Get Secure Control Profiles List,microsoft graph api connector,microsoft_graph_security_api_secure_scores_get_list_control_profiles,Get Secure Control Profiles List
The connector named microsoft graph api connector has an action named microsoft_graph_security_api_secure_scores_get_score which can be used for following - Get Secure Score,microsoft graph api connector,microsoft_graph_security_api_secure_scores_get_score,Get Secure Score
The connector named microsoft graph api connector has an action named microsoft_graph_security_api_threat_assessment which can be used for following - Get Threat Assessment,microsoft graph api connector,microsoft_graph_security_api_threat_assessment,Get Threat Assessment
The connector named microsoft graph api connector has an action named microsoft_graph_security_api_threat_assessments which can be used for following - Get Threat Assessment List,microsoft graph api connector,microsoft_graph_security_api_threat_assessments,Get Threat Assessment List
The connector named microsoft graph api connector has an action named microsoft_graph_security_api_ti_del_indicator which can be used for following - Delete Threat Intelligence Indicator,microsoft graph api connector,microsoft_graph_security_api_ti_del_indicator,Delete Threat Intelligence Indicator
The connector named microsoft graph api connector has an action named microsoft_graph_security_api_ti_get_indicator which can be used for following - Get Threat Intelligence Indicator,microsoft graph api connector,microsoft_graph_security_api_ti_get_indicator,Get Threat Intelligence Indicator
The connector named microsoft graph api connector has an action named microsoft_graph_security_api_ti_get_indicators which can be used for following - Get Threat Intelligence Indicators List,microsoft graph api connector,microsoft_graph_security_api_ti_get_indicators,Get Threat Intelligence Indicators List
The connector named microsoft graph api connector has an action named microsoft_graph_security_api_update_alert which can be used for following - Update an Alert from the Microsoft Graph Security API,microsoft graph api connector,microsoft_graph_security_api_update_alert,Update an Alert from the Microsoft Graph Security API
The connector named microsoft graph api connector has an action named microsoft_graph_security_create_indicator_azure which can be used for following - Create Threat Intelligence Indicator for Azure Sentinel,microsoft graph api connector,microsoft_graph_security_create_indicator_azure,Create Threat Intelligence Indicator for Azure Sentinel
The connector named microsoft graph api connector has an action named microsoft_graph_security_create_indicator_defender which can be used for following - Create Threat Intelligence Indicator for Microsoft Defender,microsoft graph api connector,microsoft_graph_security_create_indicator_defender,Create Threat Intelligence Indicator for Microsoft Defender
The connector named microsoft graph api connector has an action named microsoft_graph_security_ed_get_case which can be used for following - Read the properties and relationships of an ediscoveryCase object.,microsoft graph api connector,microsoft_graph_security_ed_get_case,Read the properties and relationships of an ediscoveryCase object.
The connector named microsoft graph api connector has an action named microsoft_graph_security_ed_list_cases which can be used for following - Get a list of the ediscoveryCase objects and their properties.,microsoft graph api connector,microsoft_graph_security_ed_list_cases,Get a list of the ediscoveryCase objects and their properties.
The connector named microsoft graph api connector has an action named microsoft_graph_security_ed_list_custodians which can be used for following - Get a list of the custodian objects and their properties.,microsoft graph api connector,microsoft_graph_security_ed_list_custodians,Get a list of the custodian objects and their properties.
The connector named microsoft graph api connector has an action named microsoft_graph_security_ed_list_operations which can be used for following - Get a list of the caseOperation objects and their properties.,microsoft graph api connector,microsoft_graph_security_ed_list_operations,Get a list of the caseOperation objects and their properties.
The connector named microsoft graph api connector has an action named microsoft_graph_security_ed_list_reviewsets which can be used for following - Get a list of ediscoveryReviewSet objects associated with an eDiscovery case.,microsoft graph api connector,microsoft_graph_security_ed_list_reviewsets,Get a list of ediscoveryReviewSet objects associated with an eDiscovery case.
The connector named microsoft graph api connector has an action named microsoft_graph_security_ed_list_searches which can be used for following - Get the list of ediscoverySearch resources from an eDiscoveryCase object.,microsoft graph api connector,microsoft_graph_security_ed_list_searches,Get the list of ediscoverySearch resources from an eDiscoveryCase object.
The connector named microsoft graph api connector has an action named microsoft_graph_security_ed_list_tags which can be used for following - Get a list of eDiscoveryReviewTag objects and their properties.,microsoft graph api connector,microsoft_graph_security_ed_list_tags,Get a list of eDiscoveryReviewTag objects and their properties.
The connector named microsoft graph api connector has an action named microsoft_graph_security_get_incident which can be used for following - Retrieve the properties and relationships of an incident object.,microsoft graph api connector,microsoft_graph_security_get_incident,Retrieve the properties and relationships of an incident object.
The connector named microsoft graph api connector has an action named microsoft_graph_security_get_repeat_offenders which can be used for following - List the tenant users who have yielded to attacks more than once in attack simulation and training campaigns.,microsoft graph api connector,microsoft_graph_security_get_repeat_offenders,List the tenant users who have yielded to attacks more than once in attack simulation and training campaigns.
The connector named microsoft graph api connector has an action named microsoft_graph_security_get_simulation which can be used for following - Get an attack simulation campaign for a tenant.,microsoft graph api connector,microsoft_graph_security_get_simulation,Get an attack simulation campaign for a tenant.
The connector named microsoft graph api connector has an action named microsoft_graph_security_get_simulation_auto which can be used for following - Get an attack simulation automation for a tenant.,microsoft graph api connector,microsoft_graph_security_get_simulation_auto,Get an attack simulation automation for a tenant.
The connector named microsoft graph api connector has an action named microsoft_graph_security_get_simulation_cov_users which can be used for following - List training coverage for each tenant user in attack simulation and training campaigns.,microsoft graph api connector,microsoft_graph_security_get_simulation_cov_users,List training coverage for each tenant user in attack simulation and training campaigns.
The connector named microsoft graph api connector has an action named microsoft_graph_security_get_simulation_overview which can be used for following - Get an overview of an attack simulation and training campaign.,microsoft graph api connector,microsoft_graph_security_get_simulation_overview,Get an overview of an attack simulation and training campaign.
The connector named microsoft graph api connector has an action named microsoft_graph_security_get_training_cov_users which can be used for following - List training coverage for tenant users in attack simulation and training campaigns.,microsoft graph api connector,microsoft_graph_security_get_training_cov_users,List training coverage for tenant users in attack simulation and training campaigns.
The connector named microsoft graph api connector has an action named microsoft_graph_security_list_incidents which can be used for following - Get a list of incident objects that Microsoft 365 Defender has created to track attacks in an organization.,microsoft graph api connector,microsoft_graph_security_list_incidents,Get a list of incident objects that Microsoft 365 Defender has created to track attacks in an organization.
The connector named microsoft graph api connector has an action named microsoft_graph_security_list_simulation_auto which can be used for following - Get a list of attack simulation automations for a tenant.,microsoft graph api connector,microsoft_graph_security_list_simulation_auto,Get a list of attack simulation automations for a tenant.
The connector named microsoft graph api connector has an action named microsoft_graph_security_list_simulation_users which can be used for following - List users of a tenant and their online actions in an attack simulation campaign.,microsoft graph api connector,microsoft_graph_security_list_simulation_users,List users of a tenant and their online actions in an attack simulation campaign.
The connector named microsoft graph api connector has an action named microsoft_graph_security_list_simulations which can be used for following - Get a list of attack simulation campaigns for a tenant.,microsoft graph api connector,microsoft_graph_security_list_simulations,Get a list of attack simulation campaigns for a tenant.
"The connector named microsoft graph api connector has an action named microsoft_graph_security_run_hunting_query which can be used for following - Queries a specified set of event, activity, or entity data supported by Microsoft 365 Defender to proactively look for specific threats in your environment.",microsoft graph api connector,microsoft_graph_security_run_hunting_query,"Queries a specified set of event, activity, or entity data supported by Microsoft 365 Defender to proactively look for specific threats in your environment."
The connector named microsoft graph api connector has an action named microsoft_graph_security_threat_assessment_email which can be used for following - Post Email,microsoft graph api connector,microsoft_graph_security_threat_assessment_email,Post Email
The connector named microsoft graph api connector has an action named microsoft_graph_security_threat_assessment_file which can be used for following - Post File,microsoft graph api connector,microsoft_graph_security_threat_assessment_file,Post File
The connector named microsoft graph api connector has an action named microsoft_graph_security_threat_assessment_uri which can be used for following - Post URI,microsoft graph api connector,microsoft_graph_security_threat_assessment_uri,Post URI
The connector named microsoft graph api connector has an action named microsoft_graph_security_threat_assessment_url which can be used for following - Create URL Threat Assessment,microsoft graph api connector,microsoft_graph_security_threat_assessment_url,Create URL Threat Assessment
The connector named microsoft graph api connector has an action named move_email which can be used for following - Move a message to another folder within the specified users mailbox. This creates a new copy of the message in the destination folder and removes the original message,microsoft graph api connector,move_email,Move a message to another folder within the specified users mailbox. This creates a new copy of the message in the destination folder and removes the original message
The connector named microsoft graph api connector has an action named reply_to_email which can be used for following - Send a reply message on an email,microsoft graph api connector,reply_to_email,Send a reply message on an email
The connector named microsoft graph api connector has an action named send_email which can be used for following - Send an email,microsoft graph api connector,send_email,Send an email
The connector named microsoft graph api connector has an action named set_email_read which can be used for following - Set an email as read,microsoft graph api connector,set_email_read,Set an email as read
The connector named microsoft graph api connector has an action named oauth2_client_credentials which can be used for following - Authenticates using oauth 2.0 client credentials,microsoft graph api connector,oauth2_client_credentials,Authenticates using oauth 2.0 client credentials
The connector named microsoft graph api connector has an action named connector which can be used for following - Microsoft Graph API Connector,microsoft graph api connector,connector,Microsoft Graph API Connector
The connector named alienvault usm anywhere has an action named add_label which can be used for following - Add label to an alarm,alienvault usm anywhere,add_label,Add label to an alarm
The connector named alienvault usm anywhere has an action named delete_label which can be used for following - Delete a label from an Alarm,alienvault usm anywhere,delete_label,Delete a label from an Alarm
The connector named alienvault usm anywhere has an action named get_alarm which can be used for following - Get an Alarm,alienvault usm anywhere,get_alarm,Get an Alarm
The connector named alienvault usm anywhere has an action named get_alarms which can be used for following - Get Alarms,alienvault usm anywhere,get_alarms,Get Alarms
The connector named alienvault usm anywhere has an action named get_event which can be used for following - Get an Event,alienvault usm anywhere,get_event,Get an Event
The connector named alienvault usm anywhere has an action named get_events which can be used for following - Get Events,alienvault usm anywhere,get_events,Get Events
The connector named alienvault usm anywhere has an action named get_labels which can be used for following - Get Labels from an Alarm,alienvault usm anywhere,get_labels,Get Labels from an Alarm
The connector named alienvault usm anywhere has an action named oauth2_client_credentials which can be used for following - Authenticates using oauth 2.0 client credentials,alienvault usm anywhere,oauth2_client_credentials,Authenticates using oauth 2.0 client credentials
The connector named alienvault usm anywhere has an action named connector which can be used for following - AlienVault USM Anywhere REST API,alienvault usm anywhere,connector,AlienVault USM Anywhere REST API
The connector named solarwinds orion has an action named get_query which can be used for following - Use SolarWinds Query Language (SWQL) To Query Your SolarWinds Orion Platform For Specific Information.,solarwinds orion,get_query,Use SolarWinds Query Language (SWQL) To Query Your SolarWinds Orion Platform For Specific Information.
The connector named solarwinds orion has an action named http_bearer which can be used for following - Authenticates using bearer token,solarwinds orion,http_bearer,Authenticates using bearer token
The connector named solarwinds orion has an action named connector which can be used for following - SolarWinds Orion Host API,solarwinds orion,connector,SolarWinds Orion Host API
The connector named palo alto panos has an action named commit_changes which can be used for following - Commit Pending Changes,palo alto panos,commit_changes,Commit Pending Changes
The connector named palo alto panos has an action named create_url_filtering_security_profile which can be used for following - Create an url filtering security profile.,palo alto panos,create_url_filtering_security_profile,Create an url filtering security profile.
The connector named palo alto panos has an action named delete_custom_url_category which can be used for following - Delete a custom url category.,palo alto panos,delete_custom_url_category,Delete a custom url category.
The connector named palo alto panos has an action named delete_url_filtering_security_profile which can be used for following - Delete an url filtering security profile.,palo alto panos,delete_url_filtering_security_profile,Delete an url filtering security profile.
The connector named palo alto panos has an action named edit_custom_url_category which can be used for following - Edit a custom url category.,palo alto panos,edit_custom_url_category,Edit a custom url category.
The connector named palo alto panos has an action named edit_dynamic_user_group which can be used for following - Modify a dynamic user group.,palo alto panos,edit_dynamic_user_group,Modify a dynamic user group.
The connector named palo alto panos has an action named generic_task which can be used for following - Generic Task that provides total control over a Request,palo alto panos,generic_task,Generic Task that provides total control over a Request
The connector named palo alto panos has an action named get_log which can be used for following - Get log by queue ID,palo alto panos,get_log,Get log by queue ID
The connector named palo alto panos has an action named list_addresses which can be used for following - Get addresses.,palo alto panos,list_addresses,Get addresses.
The connector named palo alto panos has an action named list_custom_url_categories which can be used for following - Get a custom url categories.,palo alto panos,list_custom_url_categories,Get a custom url categories.
The connector named palo alto panos has an action named list_dynamic_user_groups which can be used for following - Get dynamic user groups.,palo alto panos,list_dynamic_user_groups,Get dynamic user groups.
The connector named palo alto panos has an action named list_syslog_profiles which can be used for following - Get Syslog Server Profiles,palo alto panos,list_syslog_profiles,Get Syslog Server Profiles
